review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
Good if you can live with loud parties.,07-2022,Germany,Deluxe King Room,Family,5,07-2022,2.0,Close to the city center with clean rooms. Restaurants and shops nearby. Friendly staff. Breakfast was nothing special but OK.,"Stay away if you want quiet nights. We traveled for work but took our toddler. One night, there was an extremely loud party in the restaurant of the hotel, making it difficult to sleep. Staff said they could do nothing about the noise. We had important meetings the next day and our toddler of course was crying a lot. I thought I was paying for a quiet room without any hassle, but at The Student Hotel they think differently.",False
"good location and staff, bad facility relative to cost",07-2022,Germany,Standard Queen Room,Solo traveller,4,07-2022,2.0,N/A,"water going all over bathroom while showering
neighbors' and corridor's doors slamming all the time (during night as well) that could be prevented by fixing the doors and telling guests to hold them while closing",False
Just Excellant,06-2022,United States,Standard Queen Room,Solo traveller,3,06-2022,10,"From the moment I walked in the door, I was greeted with a smile and I knew it was going t be a great stay.",More Wall outlets. Hard to figure out the Thermostat.,True
Fabulous,06-2022,United Kingdom,Standard Queen Room,Family,1,06-2022,10,"Wonderful staff ! Beautifully designed hotel. Bike rental was 
Excellent too , super chill vibe. Look forward to coming back",Vegan options in the restaurant,True
Exceptional,06-2022,Netherlands,Deluxe King Room,Family,2,06-2022,10,Amazing atmosphere,Very laid back,True
Exceptional,06-2022,Germany,Deluxe King Room,Couple,3,06-2022,10,"Everything was top notch. 
The relax are downstairs.
The people, the room. Just good. Thanks!",N/A,True
"Poor value for money, beautiful design but lacking essential comfort.",05-2022,Netherlands,Standard Queen Room,Solo traveller,4,05-2022,2.0,The shared spaces.The staff is friendly.,"The beds (mattresses) are horrible. I could not sleep at all, I kept on rolling from one side to the other the whole nights. Afterwards, I found other complaints about the beds in Google reviews, but the hotel has done nothing to improve the situation.",True
Excellent hotel with great staff!,01-2022,Netherlands,Standard Queen Room,Couple,1,01-2022,10,The room was very clean and there were some free snacks laid out for us on the bed. We felt very warmly welcomed. We stayed on New Year's Eve and surely felt a bit hungover the next day. The staff was very understanding and gave us extra time for our check out so that we were able to get some more sleep in. They even handed us some bottles of water for our car ride home when we checked out. All free of charge!,There was no fridge in our room.,True
Meh overpriced and not really worth it,02-2022,Netherlands,Standard Queen Room,Solo traveller,1,02-2022,1.0,Nothing,Overpriced for what is offered. The location is not at the center of the city and room was highly dissapointing. There was no fridge or a mini bar.,True
Exceptional,11-2021,Romania,Deluxe Studio,Group,2,11-2021,10,Nice and cool atmosphere. Big rooms with everything you need. The staff was very friendly. We arrived late at night and the restaurant was closed but we could order food and enjoy it in the lounge.,-,True
Very relaxing; a pleasure to come back again.,11-2021,Romania,Deluxe King Room,Solo traveller,2,11-2021,10,"Very good location, super welcoming and close to the city center; quite room, very clean. Very polite and responsive staff. Good breakfast.",not applicable,True
Poor,11-2021,Ireland,Standard Queen Room,Solo traveller,1,11-2021,3.0,"Lift was broken, room was cold at night, workmen had cables and hose all over the entrances cleaning the windows and rude.",N/A,True
Pleasant,10-2021,United Kingdom,Deluxe King Room,Solo traveller,6,10-2021,6.0,I didn't eat it,"When I returned without my key late one night. I needed my medication. There was no night porter, and no sign indicating his return. I waited 15 mins.
And had to decide to go to my son's flat, because I felt unwell. My son was sleeping. He rang the hotel who implied I was suggesting the y look after only me. Not true. A sign should have been put on the desk indicating someone would be there shortly. I got into my room about 3am. My first attempt was at 1am. My son was totally inconvenienced. Diabetes. You need your medication. 
Some mud",True
Exceptional,10-2021,Romania,Standard Queen Room,Family,5,10-2021,10,N/A,noise from the front of the hotel,False
Exceptional,09-2021,Croatia,Standard Queen Room,Solo traveller,3,09-2021,10,"My entire stay was lovely - very comfortable, peaceful and with a great bedroom view. The room is cozy and equipled with everything necessary for a stay, while the lobby and common rooms are very student-oriented with a lot of fun activities. Breakfast was amazing, great pastries and coffee!",N/A,True
Amazing,08-2021,Germany,Standard Queen Room,Couple,4,08-2021,10,"everything nice, also good coffee with oatmilk at the entrance:)",sadly no vegan options at the restaurant,True
Exceptional,08-2021,Bulgaria,Standard Queen Room,Couple,3,08-2021,10,"The hotel is just amazing! Every little detail is precisely thought and the overall experience is so impressive - the interior design, the messages, the garden, the working and chill out area, even the pillows :) The location is great - 10 minutes walking to the central square.",The slope in the bathroom is not well done and the water from the shower does not drain into the siphon. But it's not a big problem. I noticed it just because everything else was perfect.,True
"Horrible beds, hotel has more potential",08-2021,Ireland,Standard Queen Room,Solo traveller,1,08-2021,6.0,"The atmosphere in the hotel is good. It’s low key, but quite pleasant. Friendly staff and good facilities in the general areas.","The bed is not good at all. The sheets threadcount is that of a papertowel. Either the sheets were amazingly old or they bought the cheapest thing out there. Secondly, the mattress seemed worn and had all these hard fluff elements, which uou felt through the sheets. I won’t even comment on the dent in the mattress itself. 
The shower in the room is built in such a way that regardless of what you try, the entire bathroom will fluid.",True
Exceptional,08-2021,Ireland,Standard Queen Room,Couple,2,08-2021,10,"The room was very clean. Location close to the city centre. Everything is walkable.
Staff is very friendly",N/A,True
Nice experience,08-2021,Croatia,Standard Queen Room,Group,1,08-2021,10,"Really nice hotel, clean, well equiped, very nice and polite staff and last but least it's location. Maybe 10 minutes by foot to the city centre. I will definitelly chose it again.",N/A,True
Poor experience with hotel management,08-2021,Belgium,Standard Queen Room,Couple,1,08-2021,4.0,"Convenient location, great atmosphere","Customer orientation and flexibility of the management are unfortunately limited. We accompanied our daughter to the student hotel where she will be staying there for next 12 months. Her room was next to the kitchen and she asked for a change or at least to see another room (since most rooms were not yet occupied on her floor). 
However, the assistant manager Bryan declined with verbose but unconvincing arguments. Their principle would be to wait a while and see if there really were any problems.
Hello? Do your principles count more than customer interests? Doesn't match the ambitious announcements of a ""new kind of hospitality"". Every conventional middle class hotel would try harder to meet customer requirements. 
Hope my daughter will have a great time anyway.",True
Was pretty short but nice and clean ( not gonna lie ),08-2021,France,Standard Queen Room,Family,1,08-2021,6.0,"Well the thing is that we expected to be able to book another night physically with the receptionist because, via booking.com, the rooms were full. No l",The money paid and the actual time spent in the room were not matching at all,True
Very good,08-2021,Italy,Standard Queen Room,Couple,2,08-2021,10,A beautiful hotel with full services.the room was comfortable and clean . The staff was very kind and the hotel Is in the centre,Everythings was perfetct,True
So nice!,07-2021,Poland,Standard Queen Room,Couple,2,07-2021,10,"It's my third time in Student Hotel and every time it's exactly like it should be. Great staff, clean and comfortable rooms. Location is perfect. I will definitely be back.",I really couldn't say. Restaurant could be better and breakfast was not the best either.,True
Exceptional,05-2021,Netherlands,Standard Queen Room,Couple,2,05-2021,10,Great space - inside and outside the room. Everything you could think about or need is available - just perfect,Nothing - it was just perfect,True
Exceptional,01-2021,Netherlands,Deluxe King Room,Group,2,01-2021,10,Staff was extremely friendly and service oriented! One of my best experiences from last years. Thnx most friendly staff ever!,Nothing,True
Excellent central city stay for work or play.,06-2023,United Kingdom,N/A,Solo traveller,4,06-2023,9.0,Close to centre. Free and easy approach. Friendly and helpful staff.,Big room - I could do my morning exercises. Simple sensible furnishing- no frills.,True
Superb,03-2023,Germany,N/A,Solo traveller,4,03-2023,9.0,it was really clean and the people there were really nice!,N/A,True
Perfect short stay and super friendly staff,06-2022,Belgium,N/A,Solo traveller,1,06-2022,9.0,"The staff, cleanliness, location, comfort and small touches like bottles of water and a notepad.",It was overpriced for single occupancy and the name makes it a bit off-putting if you’re not a student.,True
Superb,08-2021,United States,N/A,Family,3,08-2021,9.0,I like the location...The staff is very friendly. The rooms are clean with comfortable bed....Overall my stay was pleasant.,I had a problem to understand how the system for air conditioner works. May be a short description in the room or the site of the hotel how it works will be heplfull.,True
it was the perfect stay to visit groningen,03-2023,Romania,N/A,Couple,2,03-2023,10,"it was very well located, the room was specious and the decor was awesome",-,True
3 days stay,08-2021,Romania,N/A,Couple,3,08-2021,6.0,"Quiet and friendly, nice staff. On departure morning we received a water bottle, nice touch for international travelers whom take the train for few hours",Shampoo and shower gel offerings- a single 30 ml bottle of shampoo for 2 people for 3 nights stay !!!,True
N/A,12-2023,Netherlands,Deluxe Studio,Solo traveller,1,12-2023,7.0,"Leuk concept, met name beneden gezellige sfeer, leuk ingericht , aardig personeel","Ik vond de prijs van 185 euro erg veel en de kamer niet echt gezellig. Functioneel dat wel. Tapijt was op sommige plekken kapot, kleine gaatjes in gordijn. Niet onoverkomelijk maar staat wat onverzorgd.",False
N/A,12-2023,Netherlands,Standard Queen Room,Solo traveller,1,12-2023,9.0,"Atmosfeer, vriendelijk personeel, mooie kamer, uitstekende locatie.",Heel klein beetje: geluid van de (drukke) weg hoor je in de kamer. Net alsof het raam niet helemaal goed sluit. Heb ik gecheckt maar zag geen afwijking (kmr 221).,True
N/A,12-2023,Belgium,Deluxe King Room,Solo traveller,1,12-2023,9.0,"Prettige informele sfeer, aardig personeel, ruime kamer, uitstekend ontbijt",Niets,True
N/A,12-2023,Netherlands,Standard Queen Room,Couple,1,12-2023,7.0,"Redelijke prijs voor een locatie aan de rand van het centrum.
Vriendelijk personeel",pad naast bed aan rechterkant was wel heel smal. Moest via het voeteneind het bed op. En rechts geen kastje of plankje om bijvoorbeeld je mobiel neer te leggen,True
N/A,11-2023,Netherlands,Standard Queen Room,Couple,1,11-2023,8.0,De algehele sfeer van het gebouw en de mensen,Niets,True
N/A,12-2023,Netherlands,Standard Queen Room,Couple,1,12-2023,8.0,Goed ontbijt. Vriendelijk personeel,N/A,True
N/A,10-2023,Germany,Deluxe King Room,Couple,1,10-2023,9.0,"Das Hotel ist eher was für Studenten, wir als Paar waren etwas irritiert von der Lobby.",N/A,True
N/A,11-2023,Netherlands,Standard Queen Room,Couple,2,11-2023,8.0,"Top locatie en zeer vriendelijk personeel. Ontbijt was lekker en uitgebreid, wel een beetje aan de dure kant",N/A,True
N/A,11-2023,Netherlands,Deluxe King Room,Solo traveller,1,11-2023,7.0,prima,matras was er bobbelig,True
N/A,11-2023,Netherlands,Deluxe King Room,Group,3,11-2023,9.0,personeel heel vriendelijk en prima ontbijt!,N/A,True
N/A,11-2023,Netherlands,Standard Queen Room,Couple,1,11-2023,8.0,Goede ligging. Prima ontvangst. Aardig personeel. Goed ontbijt.,De hygiene van de kamer. Wij hadden het idee dat er vluchtig was schoongemaakt. In de hoeken van de vloerbedekking lagen stofresten. Achter de kraan was aangekoekt vuil.,True
N/A,11-2023,Italy,Standard Queen Room,Family,2,11-2023,9.0,Lively place,Dark colours in my room,True
N/A,11-2023,Netherlands,Standard Queen Room,Couple,2,11-2023,8.0,Vernieuwend,N/A,True
N/A,11-2023,Netherlands,Standard Queen Room,Solo traveller,1,11-2023,8.0,"Super leuk format: werken, eten, logeren onder één dak. En dan ook nog tafeltennissen, lezen of internetten op gratis WiFi. Plus goede koffie!
Leuke tekstvondsten op de slaapkamer (no spoilers) en prima bed.","Airco/verwarming was even stoeien, maar uiteindelijk gelukt.",True
N/A,08-2023,Spain,Deluxe Studio,Solo traveller,4,08-2023,9.0,Estudio muy amplio y agradable. Es un lujo tener una pequeña cocina para preparar desayuno y comida.,Falta una mesa de comedor con sillas para comer y un sofá.,True
N/A,11-2023,Turkey,Deluxe King Room,Family,3,11-2023,8.0,"Konum, odalar ve kahvalti",N/A,True
N/A,08-2023,Germany,Deluxe King Room,Couple,1,08-2023,8.0,"Gute Lage, große Zimmer, sauber.",N/A,True
N/A,11-2023,Netherlands,Deluxe King Room,Couple,1,11-2023,8.0,"Hip hotel, maar eigenlijk is dit vooral  studenten verzamelplaats .","Prijs kwaliteit verhouding is zoek.. Er was een festival in de stad , maar de prijs voor deze kamer was wel te hoog",True
N/A,11-2023,Netherlands,Standard Queen Room,Couple,1,11-2023,7.0,"De uitstraling, het personeel en de ligging","De bedden waren ingezakt. We hebben allebei in een kuil geslapen. 
Het water in de douche liep slecht weg, waardoor het water door de hele badkamer heen stroomde.",True
N/A,11-2023,Netherlands,Standard Queen Room,Solo traveller,1,11-2023,7.0,Prachtige plek en gezellige sfeer,N/A,True
N/A,10-2023,Netherlands,Deluxe King Room,Couple,2,10-2023,8.0,"gezellig en vriendelijk personeel, mooie accommodatie, lekker dicht bij het centrum, ontbijt was heerlijk en voldoende.",wij hadden een groot 2 persoons dekbed maar zouden in de toekomst graag 2 eenpersoons dekbedden hebben,True
N/A,11-2023,Netherlands,Standard Queen Room,Couple,1,11-2023,9.0,Sfeer en inrichting en locatie,Gangen donker.,True
N/A,11-2023,Belgium,Deluxe King Room,Couple,1,11-2023,9.0,"ontbijtbuffet
hotel voor jong en oud.
ondergrondse parking net naast de deur. (parking €10/dag)",slechts 1 lift (maar valt mee),True
N/A,11-2023,Netherlands,Standard Queen Room,Solo traveller,1,11-2023,8.0,"Hotel met een informele sfeer, waar het prettig is om te verblijven. Receptiemedewerkers zijn altijd uitermate vriendelijk. Je kunt beneden werken in a shared space. De kamer heeft trouwens ook een bureau, maar met slecht licht helaas. In het restaurant is het goed eten tegen een schappelijke prijs. De ligging is perfect tussen UMCG en centrum in.","Licht op bureau kan beter. 
Te weinig stopcontacten.",True
N/A,11-2023,Germany,Deluxe King Room,Group,2,11-2023,9.0,Sowohl das Design als auch die Größe der Zimmer waren toll. Das Social Hub ist von der Größe und den unterschiedlich designten Aufenthaltsmöglichkeiten prima. Die Lage ist sehr zentrumsnah und ruhig. Das Frühstück ist lecker und völlig ausreichend. Besonders toll ist die nette Bedienung.,"Die Kissen  im Bett finde ich zu hart, im Bad fehlt ein Vergrößerungsspiegel, und um sich mit zwei Personen im Zimmer aufhalten zu können fehlt ein zweiter Sessel. Wie wäre es mit einer Sauna?",True
N/A,08-2023,Germany,Standard Queen Room,Group,3,08-2023,8.0,"Zentral, ruhig, modern, freundliches Personal, Ausstattung,","Frühstückspause etwas klein und ungünstig gestaltet, wenn viele Gäste da sind",True
N/A,10-2023,Netherlands,Standard Queen Room,Couple,1,10-2023,8.0,"Dichtbij het centrum. Netjes. Ruimte om te chillen, lunchen en een drankje doen",N/A,True
N/A,10-2023,Germany,Deluxe King Room,Solo traveller,1,10-2023,9.0,"Die Lage im Ort ist super, Frühstück lecker. Gut ausgestattete Zimmer.",N/A,True
N/A,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,9.0,Mooi hotel,N/A,True
N/A,10-2023,Netherlands,Deluxe Studio,Family,1,10-2023,9.0,Mooi hotel dichtbij de locatie waar we moesten zijn. Geweldige sfeer binnen,N/A,True
N/A,10-2023,Denmark,Standard Queen Room,Couple,1,10-2023,9.0,Spiste ikke morgenmad på stedet,Dårlig belysning i badeværelset,True
N/A,10-2023,Netherlands,Standard Queen Room,Family,1,10-2023,7.0,Hotel in het centrum,Hygiëne en harde matrassen,True
N/A,10-2023,Netherlands,Deluxe King Room,Family,2,10-2023,9.0,"top locatie, gezellig sfeer in hotel mede door studenten die er ook verblijven, vriendelijk personeel, heerlijk ontbijt.
We hadden geen geluidsoverlast van anderen of van buiten.",niks,True
N/A,10-2023,Netherlands,Deluxe King Room,Family,2,10-2023,9.0,"Lokatie, vriendelijkheid personeel, goed ontbijt buffet.",Er was maar 1 lift,True
N/A,10-2023,Netherlands,Standard Queen Room,Group,1,10-2023,7.0,"Comfortabele kamer, groot ruim bed, lekkere douche, alles goed schoon.","Ontbijt was niet zo goed. We kregen het mee voor take away maar de broodjes waren van de dag ervoor, de jus d’orange was al ruim over de datum (17/10/23) en het verschilde van mijn reisgenoten (ik miste een yoghurtje en een mueslireep).",True
N/A,10-2023,Italy,Standard Queen Room,Solo traveller,3,10-2023,8.0,"Ambiente dinamico, con molti servizi per gli ospiti, ambiente molto cordiale e giovane",Stanza buia,True
N/A,10-2023,Netherlands,Standard Queen Room,Group,2,10-2023,9.0,Uitstekend ontbijt en nabij centrum,Badkamer erg klein waardoor alles nat werd,True
N/A,10-2023,Netherlands,Deluxe King Room,Couple,2,10-2023,9.0,"Een verademing , relax ontvangst ,gemoedelijk  , heerlijk",het ontbijt was wat karig en te wienig plekken tijdens de pieken,True
N/A,10-2023,Germany,Standard Queen Room,Family,1,10-2023,8.0,"Sehr tolle Lage, super liebes Personal, Zimmerausstattung mit allem was man benötigt, super bequeme Betten","Frühstück war lecker, aber leider etwas mickrig. Sauberkeit der Zimmer könnte etwas verbessert werden.",True
N/A,10-2023,Germany,Standard Queen Room,Couple,1,10-2023,8.0,"Zimmer war Absolut OK 
Kaffeemaschine auf dem Zimmer war super
Die Lage und Erreichbarkeit war gut","TV könnte Neuer und etwas Größer sein
Smart TV hat nicht funktioniert, ist heute schon Standard
Dusche war nicht ausreichend gesichert gegen austretendes Wasser am Boden",True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,9.0,"Mooie ruimte, goed bed",Bij het douchen loopt de ruimte bij wastafel en toilet vol. Er is geen verhoging die het water in de doucheruimte houdt,True
N/A,10-2023,Netherlands,Standard Queen Room,Couple,1,10-2023,8.0,"vriendelijk en behulpzaam personeel, schone kamer, goed ontbijt",-,True
N/A,10-2023,Netherlands,Standard Queen Room,Family,1,10-2023,8.0,"Bijna alles. Prachtig concept, alle faciliteiten als sport, internet, leesruimte, goed en gevarieerd ontbijt, vriendelijk personeel.","Het brandalarm ging om half 1 af. Gelukkig loos alarm, maar wel eenuur wakker gelegen. Kan gebeuren.",True
N/A,08-2023,Germany,Standard Queen Room,Family,2,08-2023,8.0,"Sehr freundliche und hilfsbereite Mitarbeiter, gute Lage, gutes Frühstück","Etwas eng beim Frühstück (gut war der Nebenraum), Zimmer etwas eng und ""offene Dusche"", die das halbe Badezimmer nass macht",True
N/A,10-2023,Germany,Deluxe King Room,Family,3,10-2023,8.0,"Dass alles so entspannt war . Kein Stress bei der autofahrt. 
Einfach nett um umgang.","Dass einfach alles so teuer ist .
Teils laufen einem die kosten davon . Daher ist so ein Wochenende einfach nur alle zwei jahre möglich.",True
N/A,09-2023,Netherlands,Standard Queen Room,Solo traveller,2,09-2023,8.0,De sfeer en de houding van het personeel. Ook de ligging is een groot pluspunt,N/A,True
N/A,09-2023,Netherlands,Deluxe King Room,Couple,1,09-2023,9.0,Hip leuk ingericht en speels hotel,Niets,True
N/A,10-2023,Netherlands,Standard Queen Room,Solo traveller,8,10-2023,8.0,"Fijne plek om vanuit te werken, mooi centraal en met fijne faciliteiten zoals een fiets, een fitness en werkruimtes. Personeel is snel en behulpzaam.","Het is vooral een plek waar (internationale) studenten zitten. Dat is niet een groot nadeel, maar heb ik mij niet gerealiseerd toen ik boekte. Het was vooral wat vervreemdend voor een veertiger ;-)...",True
N/A,10-2023,Netherlands,Standard Queen Room,Solo traveller,2,10-2023,9.0,Locatie en parkeergarage naast het hotel. Vriendelijkheid van het personeel.,"De cappuccino van Dennis, blijven oefenen Dennis.",True
N/A,10-2023,Germany,Deluxe Studio,Family,2,10-2023,7.0,Lage,Sauberkeit,True
N/A,10-2023,Germany,Standard Queen Room,Couple,1,10-2023,9.0,"Sehr freundliches Personal! Das Frühstück war an sich sehr gut. ""An sich"", weil der Apfelsaft und der Orangensaft als einzige Ausnahme wirklich nicht gut waren. Trotzdem würde ich jederzeit wiederkommen!",Der Apfelsaft und der O-Saft beim Frühstück. Da muss wirklich nachgebessert werden. Ansonsten gibt's wirklich nix zu meckern!,True
N/A,10-2023,Germany,Deluxe Studio,Couple,3,10-2023,8.0,"Großes Zimmer, super Leute und tolle Lage. Kostenloses Wasser.","Leider gab es nur einen Nachttisch und auch nur eine Nachttischlampe, sowie einen Zahnputzbecher für 2 Personen.",True
N/A,09-2023,Germany,Deluxe King Room,Couple,2,09-2023,9.0,Eine interessante Mischung aus Studenten und „ normalen“ Hotelgästen . Sehr gutes Frühstück!! Die Innenstadt wird in wenigen Minuten zu Fuß erreicht. Neben dem Hotel befindet sich ein günstiges Parkhaus.,N/A,True
N/A,10-2023,Netherlands,Deluxe King Room,Family,1,10-2023,7.0,de locatie en de sfeer,het kingsize bed was gewoon tweepersoons en er was weinig extra's; er ontbraken ook 2 bekers/glazen,True
N/A,10-2023,Germany,Deluxe Studio,Couple,2,10-2023,8.0,Top Lage,Sehr verkalktes Badezimmer. Sah sehr ungepflegt aus. Frühstück war nicht der Hit. Kaffee war super.,True
N/A,10-2023,Netherlands,Deluxe King Room,Couple,2,10-2023,8.0,vriendelijk en behulpzaam personeel,donkere gangen en verlichting in de badkamer is niet optimaal,True
N/A,09-2023,Germany,Standard Queen Room,Couple,1,09-2023,9.0,"Dynamisches Hotel, gut ausgestattet. Frühstück war sehr gut. Allerdings sollte man frühzeitig kommen, denn der Zugang zum Essen wird überpünktlich beendet. Prima ist auch das danebenliegende Parkhaus. Sowohl vom Komfort als auch vom Preis.","Beim Frühstück musste man mehrmals nach Dingen fragen, wie z.B. Besteck, Ketchup etc. Zudem wurde überpünktlich Schluss gemacht.",True
N/A,09-2023,Netherlands,Standard Queen Room,Group,1,09-2023,8.0,"Relaxte vibe en hippe uitstraling, vriendelijk en behulpzaam personeel, centraal gelegen.","Niet lekker liggende korte bedden, kamers prima maar compact.",True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,8.0,"Personeel was erg aardig en behulpzaam. Alles zag er mooi uit, beneden fijne ruimte om te chillen. Locatie is top.",Ik vond de kamer voor 2 personen aan de kleine kant. Maar misschien is het de bedoeling dat je er alleen slaapt en andere tijd in de gezamenlijke ruimtes doorbrengt.,True
N/A,09-2023,Germany,Deluxe King Room,Group,2,09-2023,9.0,"Es war sehr schön eingerichtet 
Man hatte die Möglichkeit sich auch in der Lobby aufzuhalten mit einer Gruppe von vier Leuten","Der Fernseher in unserem Zimmer lies sich nicht auf eine andere Sprache einstellen, bei unseren Freunden schon.",True
N/A,08-2023,Germany,Deluxe Studio,Couple,4,08-2023,8.0,"Super Frühstück, Lage optimal","Fahrräder hätten problemloser zur Verfügung gestellt werden können. War auch nicht wirklich preisgünstig. Aber gut, ich glaube, in diesen Fahrrad -Städten werden gerade Fahrräder auch viel geklaut.",True
N/A,09-2023,Netherlands,Deluxe King Room,Group,2,09-2023,8.0,Bedden en kamers zijn goed. Prima faciliteiten en leuke activiteiten te doen met tafelvoetbal en pingpong. Locatie erg fijn dicht bij het centrum maar wel rustig.,Ontbijt was voldoende maar niet bijzonder. Water liep wel beetje uit de douche als je lang aan het douchen bent. Verder prima hotel.,True
N/A,08-2023,Germany,Standard Queen Room,Group,3,08-2023,9.0,Es war alles super und ruhig.,N/A,True
N/A,09-2023,Netherlands,Deluxe King Room,Family,1,09-2023,8.0,Locatie,N/A,True
N/A,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,8.0,"Het was er heel schoon
Goed ontbijt
Lekker rustig
Vriendelijk personeel",N/A,True
N/A,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,8.0,Vrijdag op Zaterdag totaal geen last gehad vanaf de straat of andere hotelgasten.. Geslapen als n roos.. Alles was keurig schoon en netjes. Kamer groot zat voor éen nacht of weekendje.. Aan de rand vh centrum.. prima beloopbaar.. Voor alles top,Niets..,True
N/A,09-2023,Netherlands,Standard Queen Room,Family,1,09-2023,9.0,"Erg vriendelijk personeel, mooie ruime kamer, gezellige sfeer en op loopafstand van het centrum. Ook fijn dat er een parkeergarage heel vlakbij is.",N/A,True
N/A,09-2023,Netherlands,Deluxe King Room,Couple,2,09-2023,8.0,kamer en ontbijt,"afstand centrum
dineermogelijkheid",True
N/A,09-2023,Netherlands,Deluxe Studio,Couple,2,09-2023,7.0,Concept frisse ideeën goed ontbijt,Hier en daar wat onverzorgd vuil,True
N/A,07-2023,Netherlands,Standard Queen Room,Solo traveller,2,07-2023,8.0,locatie en dichtbij parkeergarage,niets,True
N/A,09-2023,Germany,Deluxe King Room,Group,1,09-2023,9.0,"gemütliche Betten, schöne Atmosphäre, modernes Design, sehr nettes Personal das sehr hilfsbereit ist.","wenn im Zimmer Tee und Kaffee angeboten wird, was ich super finde, wären Becher und Löffel dazu super, damit mal den Zucker auch umrühren kann.
Wir hatten zwei kleine Gläser und keine Löffel.
im Flur roch es nach Käsefüßen...",True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,2,07-2023,7.0,The Social Hub is een prima stadshotel met vooral veel buitenlandse studenten; gezellige ambiance.,Badkamer is veel te klein;,True
N/A,09-2023,Netherlands,Deluxe King Room,Couple,1,09-2023,9.0,"Ligging, sfeer en faciliteiten",De bedden waren voor ons iets te hard,True
N/A,08-2023,Switzerland,Standard Queen Room,Couple,1,08-2023,7.0,Das Personal war sehr flexibel und hat uns umgehend geholfen. Die Receptionistin hat sich umgehend unserem Problem angenommen und uns schnellstmöglich ein anderes Zimmer organisiert.,Bei unserer Ankunft war das Bett beim ersten Zimmer defekt und auch nicht brauchbar. Der Zimmerservice hätte dies bei der Reinigung merken müssen.,True
N/A,09-2023,Netherlands,Deluxe King Room,Couple,2,09-2023,8.0,"Goed bed, schoon, vriendelijk personeel.",N/A,True
N/A,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,8.0,Vlakbij het huis van mijn dochter,"Lange gangen, lift vlakbij ons deed het niet!",True
N/A,09-2023,Netherlands,Deluxe King Room,Group,1,09-2023,9.0,"Zeer ruime, comfortabele kamers met extra voorzieningen in het gebouw en op loopafstand van het centrum",-,True
N/A,09-2023,Germany,Deluxe King Room,Couple,2,09-2023,8.0,N/A,"Frühstück hätte besser sein können, war aber OK",True
N/A,09-2023,Germany,Deluxe King Room,Couple,2,09-2023,8.0,"Das Hotel ist wirklich super stylisch. Wir waren früh dran daher war unser Zimmer noch nicht fertig, wir wurden aber sehr freundlich begrüßt und konnten unser Gepäck in einem gesicherten Raum unterstellen. Das Zimmer (Deluxe Doppelzimmer) war angenehm groß und schön eingerichtet. Das Bad war ebenfalls schön und die Klimaanlage funktionierte gut. Das Essen im zugehörigen Restaurant war lecker.","Die Reinigung hätte noch etwas besser sein können, z.B. dass benutzte Gläser von der Kaffeemaschine nicht weggeräumt wurden oder auch im bad z.B. beim Waschbecken anscheinend nur schnell grob rübergewischt wurde. Das Bett sah super schön aus, war dann aber irgendwie sehr unbequem. Wir beide konnten nicht genau sagen woran es lag. Im unteren Bereich des Hotels gibt es zwar viele Sitzmöglichkeiten (zum Teil Co working spaces und ähnliches), bei dem grandiosen Wetter dass wir hatten fehlte uns jedoch eine Sitzmöglichkeit im Freien (abgesehen vom Restaurant), da wäre eine Terrasse im Innenhof oder ähnliches schön.",True
N/A,09-2023,Netherlands,Deluxe King Room,Solo traveller,2,09-2023,8.0,"Położenie i cisza, mimo ze hotel okupowany przez młodych ludzi",Brak lodówki w pokoju,True
N/A,09-2023,Belgium,Deluxe King Room,Family,1,09-2023,8.0,"Modern,  proper hotel. Goede ligging. Goed ontbijt.",Toch prijzig voor wat je krijgt.,True
N/A,09-2023,Netherlands,Deluxe King Room,Couple,2,09-2023,8.0,Het vriendelijke personeel en de goede ligging.,Het donkere gangenstelsel en dat er geen gereduceerd parkeertarief is voor gasten van het hotel.,True
N/A,09-2023,Netherlands,Deluxe King Room,Group,2,09-2023,7.0,Leuke locatie voor jongeren,Tapijt in het hotel :/,True
N/A,09-2023,Netherlands,Standard Queen Room,Solo traveller,1,09-2023,8.0,lokatie,stoffig,True
N/A,08-2023,Spain,Standard Queen Room,Family,5,08-2023,8.0,El ambiente en las zonas comunes,La almohada no me gustó nada,True
N/A,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,9.0,Fantastische sfeer,N/A,True
